Teacher Name,Teacher ID,Mobile,Date of Birth,Email,Department,Age
Finley,T001,+91-8370159082,1995-01-01,finley25@college.edu,Civil,29
Reese,T002,+91-9058366119,1978-01-07,reese48@college.edu,Physics,46
Alex,T003,+91-7267108087,1970-07-06,alex80@college.edu,Mechanical,54
Blake,T004,+91-8156043197,1986-02-21,blake58@college.edu,Mathematics,38
Jamie,T005,+91-9008391099,1999-12-18,jamie89@college.edu,Mathematics,25
Parker,T006,+91-9552144655,1995-05-24,parker28@college.edu,Electronics,29
Reese,T007,+91-9316429741,1996-04-23,reese70@college.edu,Physics,28
Phoenix,T008,+91-9224901375,1979-11-20,phoenix8@college.edu,Physics,45
Phoenix,T009,+91-9237730296,1976-08-12,phoenix59@college.edu,Physics,48
Riley,T010,+91-8400784937,1971-11-06,riley70@college.edu,Mathematics,53
Hayden,T011,+91-8085569460,1977-02-24,hayden37@college.edu,Civil,47
Gray,T012,+91-7493332172,1967-02-18,gray36@college.edu,Computer Science,57
Hayden,T013,+91-7473795181,1994-07-20,hayden98@college.edu,Electronics,30
Logan,T014,+91-9479369582,1978-02-24,logan79@college.edu,Computer Science,46
Taylor,T015,+91-7839745010,1995-05-27,taylor67@college.edu,Electronics,29
Charlie,T016,+91-9096986144,1981-03-06,charlie76@college.edu,Physics,43
Hayden,T017,+91-7561935501,1965-04-03,hayden12@college.edu,Physics,59
Dakota,T018,+91-9115067274,1979-12-18,dakota80@college.edu,Computer Science,45
Logan,T019,+91-6241364606,1970-02-17,logan42@college.edu,Mathematics,54
Hayden,T020,+91-9481305711,1998-02-22,hayden24@college.edu,Civil,26
Jordan,T021,+91-8218996392,1972-07-06,jordan53@college.edu,Electronics,52
Riley,T022,+91-9598610065,1984-01-16,riley3@college.edu,Physics,40
Skyler,T023,+91-6401667074,1989-08-03,skyler45@college.edu,Civil,35
Casey,T024,+91-6615424313,1990-03-06,casey69@college.edu,Mathematics,34
Harper,T025,+91-6556656900,1971-03-09,harper62@college.edu,Civil,53
River,T026,+91-9704593829,1986-08-07,river80@college.edu,Mechanical,38
Reese,T027,+91-7855950892,1993-03-15,reese77@college.edu,Electronics,31
Phoenix,T028,+91-7940536744,1986-06-09,phoenix22@college.edu,Civil,38
Phoenix,T029,+91-7765020781,1967-06-19,phoenix96@college.edu,Computer Science,57
Jordan,T030,+91-8215736021,1989-02-04,jordan1@college.edu,Civil,35
